abs_path,file_name,label
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg1_1990.jpg,Mark Zuckerberg1_1990.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg132_2002.jpg,Mark Zuckerberg132_2002.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg206_2032.jpg,Mark Zuckerberg206_2032.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg207_2033.jpg,Mark Zuckerberg207_2033.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg133_2003.jpg,Mark Zuckerberg133_2003.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg17_2019.jpg,Mark Zuckerberg17_2019.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg153_2012.jpg,Mark Zuckerberg153_2012.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg169_2018.jpg,Mark Zuckerberg169_2018.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg5_2063.jpg,Mark Zuckerberg5_2063.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg38_2054.jpg,Mark Zuckerberg38_2054.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg62_2070.jpg,Mark Zuckerberg62_2070.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg228_2042.jpg,Mark Zuckerberg228_2042.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg75_2076.jpg,Mark Zuckerberg75_2076.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg158_2014.jpg,Mark Zuckerberg158_2014.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg68_2073.jpg,Mark Zuckerberg68_2073.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg229_2043.jpg,Mark Zuckerberg229_2043.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg235_2046.jpg,Mark Zuckerberg235_2046.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg63_2071.jpg,Mark Zuckerberg63_2071.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg112_1997.jpg,Mark Zuckerberg112_1997.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg2_2029.jpg,Mark Zuckerberg2_2029.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg74_2075.jpg,Mark Zuckerberg74_2075.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg105_1991.jpg,Mark Zuckerberg105_1991.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg83_2079.jpg,Mark Zuckerberg83_2079.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg138_2005.jpg,Mark Zuckerberg138_2005.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg167_2017.jpg,Mark Zuckerberg167_2017.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg225_2041.jpg,Mark Zuckerberg225_2041.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg29_2052.jpg,Mark Zuckerberg29_2052.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg128_2001.jpg,Mark Zuckerberg128_2001.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg135_2004.jpg,Mark Zuckerberg135_2004.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg42_2057.jpg,Mark Zuckerberg42_2057.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg224_2040.jpg,Mark Zuckerberg224_2040.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg239_2047.jpg,Mark Zuckerberg239_2047.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg28_2051.jpg,Mark Zuckerberg28_2051.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg232_2045.jpg,Mark Zuckerberg232_2045.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg50_2064.jpg,Mark Zuckerberg50_2064.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg78_2077.jpg,Mark Zuckerberg78_2077.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg123_2000.jpg,Mark Zuckerberg123_2000.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg65_2072.jpg,Mark Zuckerberg65_2072.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg26_2049.jpg,Mark Zuckerberg26_2049.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg60_2068.jpg,Mark Zuckerberg60_2068.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg147_2009.jpg,Mark Zuckerberg147_2009.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg98_2086.jpg,Mark Zuckerberg98_2086.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg178_2021.jpg,Mark Zuckerberg178_2021.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg85_2081.jpg,Mark Zuckerberg85_2081.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg108_1994.jpg,Mark Zuckerberg108_1994.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg198_2028.jpg,Mark Zuckerberg198_2028.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg201_2031.jpg,Mark Zuckerberg201_2031.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg173_2020.jpg,Mark Zuckerberg173_2020.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg200_2030.jpg,Mark Zuckerberg200_2030.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg35_2053.jpg,Mark Zuckerberg35_2053.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg15_2010.jpg,Mark Zuckerberg15_2010.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg155_2013.jpg,Mark Zuckerberg155_2013.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg222_2039.jpg,Mark Zuckerberg222_2039.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg193_2027.jpg,Mark Zuckerberg193_2027.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg193_2026.jpg,Mark Zuckerberg193_2026.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg48_2061.jpg,Mark Zuckerberg48_2061.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg110_1996.jpg,Mark Zuckerberg110_1996.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg55_2066.jpg,Mark Zuckerberg55_2066.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg6_2067.jpg,Mark Zuckerberg6_2067.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg216_2038.jpg,Mark Zuckerberg216_2038.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg106_1992.jpg,Mark Zuckerberg106_1992.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg107_1993.jpg,Mark Zuckerberg107_1993.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg184_2023.jpg,Mark Zuckerberg184_2023.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg21_2035.jpg,Mark Zuckerberg21_2035.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg49_2062.jpg,Mark Zuckerberg49_2062.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg27_2050.jpg,Mark Zuckerberg27_2050.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg43_2058.jpg,Mark Zuckerberg43_2058.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg212_2036.jpg,Mark Zuckerberg212_2036.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg150_2011.jpg,Mark Zuckerberg150_2011.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg79_2078.jpg,Mark Zuckerberg79_2078.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg214_2037.jpg,Mark Zuckerberg214_2037.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg44_2059.jpg,Mark Zuckerberg44_2059.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg189_2024.jpg,Mark Zuckerberg189_2024.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg118_1999.jpg,Mark Zuckerberg118_1999.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg19_2025.jpg,Mark Zuckerberg19_2025.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg4_2055.jpg,Mark Zuckerberg4_2055.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg86_2082.jpg,Mark Zuckerberg86_2082.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg113_1998.jpg,Mark Zuckerberg113_1998.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg90_2084.jpg,Mark Zuckerberg90_2084.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg91_2085.jpg,Mark Zuckerberg91_2085.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg145_2008.jpg,Mark Zuckerberg145_2008.jpg,Mark Zuckerberg
/mnt/pan/courses/sxg125_csds312/group11/105_classes_pins_dataset/pins_Mark Zuckerberg/Mark Zuckerberg87_2083.jpg,Mark Zuckerberg87_2083.jpg,Mark Zuckerberg
